window,is_start,is_end,oos_start,oos_end,best_fast,best_slow,best_rsi,is_return_pct,oos_return_pct,efficiency
1,2015-01-02,2017-01-02,2017-01-03,2017-07-03,3,15,70,2.95,18.68,6.322
2,2015-07-02,2017-07-02,2017-07-03,2018-01-03,8,26,70,29.03,1.69,0.058
3,2016-01-02,2018-01-02,2018-01-03,2018-07-03,5,20,70,39.43,-2.04,-0.052
4,2016-07-02,2018-07-02,2018-07-03,2019-01-03,5,20,70,29.69,9.49,0.32
5,2017-01-02,2019-01-02,2019-01-03,2019-07-03,5,15,70,21.27,14.22,0.669
6,2017-07-02,2019-07-02,2019-07-03,2020-01-03,5,15,70,28.8,20.29,0.705
7,2018-01-02,2020-01-02,2020-01-03,2020-07-03,3,15,75,42.62,18.45,0.433
8,2018-07-02,2020-07-02,2020-07-03,2021-01-03,3,15,75,43.13,11.67,0.271
9,2019-01-02,2021-01-02,2021-01-03,2021-07-03,3,20,70,44.19,7.32,0.166
10,2019-07-02,2021-07-02,2021-07-03,2022-01-03,3,20,70,48.42,28.81,0.595
11,2020-01-02,2022-01-02,2022-01-03,2022-07-03,3,20,70,48.96,-3.99,-0.081
12,2020-07-02,2022-07-02,2022-07-03,2023-01-03,3,15,70,26.18,-2.09,-0.08
13,2021-01-02,2023-01-02,2023-01-03,2023-07-03,3,15,70,23.08,17.08,0.74
14,2021-07-02,2023-07-02,2023-07-03,2024-01-03,3,15,70,29.93,9.56,0.319
15,2022-01-02,2024-01-02,2024-01-03,2024-07-03,3,15,70,16.72,11.21,0.67
16,2022-07-02,2024-07-02,2024-07-03,2025-01-03,3,15,70,28.41,1.65,0.058
17,2023-01-02,2025-01-02,2025-01-03,2025-07-03,3,15,70,27.26,-11.82,-0.434
